,portfolio_return,equity,portfolio_return_gross,turnover,transaction_cost
2022-01-24,0.0008461107113134,1.858637084813484,0.0008461107113134,0.0,0.0
2022-01-25,-0.005235961417579,1.8489053327481193,-0.005235961417579,0.0,0.0
2022-01-26,-0.0076387416633269,1.834782022551309,-0.0076387416633269,0.0,0.0
2022-01-27,-0.0075727369035966,1.820887701019079,-0.0075727369035966,0.0,0.0
2022-01-28,0.0119000577502854,1.8425563698179905,0.0119000577502854,0.0,0.0
2022-01-31,0.0149869650878665,1.8701706978048787,0.0149869650878665,0.0,0.0
2022-02-01,0.0042202080564405,1.8780632072506735,0.0042202080564405,0.0,0.0
2022-02-02,0.0038295505280403,1.8852553451976934,0.0038295505280403,0.0,0.0
2022-02-03,-0.0132731519102244,1.860232064611322,-0.0132731519102244,0.0,0.0
2022-02-04,0.0010215983989991279,1.8621324747102959,0.0012253375222403,0.20373912324117205,0.00020373912324117205
2022-02-07,0.000242821257711,1.8625846400598296,0.000242821257711,0.0,0.0
2022-02-08,0.003660629644979,1.8694028726095153,0.003660629644979,0.0,0.0
2022-02-09,0.0127591931203089,1.8932549448808003,0.0127591931203089,0.0,0.0
2022-02-10,-0.0131588820938446,1.8683418262875255,-0.0131588820938446,0.0,0.0
2022-02-11,-0.0059154909881923,1.8572896670512589,-0.0059154909881923,0.0,0.0
2022-02-14,-0.0027482006829213,1.852185462319886,-0.0027482006829213,0.0,0.0
2022-02-15,0.0086354236322987,1.8681798684326032,0.0086354236322987,0.0,0.0
2022-02-16,0.0036591897613354,1.8750158930795047,0.0036591897613354,0.0,0.0
2022-02-17,-0.0092810604013466,1.857613757322349,-0.0092810604013466,0.0,0.0
2022-02-18,-0.0039062292236852,1.8503574921771768,-0.0039062292236852,0.0,0.0
2022-02-22,-0.0051266208608044,1.8408714108578357,-0.0051266208608044,0.0,0.0
2022-02-23,-0.009273956486229,1.8237992494967972,-0.009273956486229,0.0,0.0
2022-02-24,0.0064319122360857,1.8355297662057994,0.0064319122360857,0.0,0.0
2022-02-25,0.0114477967601694,1.8565425379165648,0.0114477967601694,0.0,0.0
2022-02-28,0.000272101683128,1.8570477062659305,0.000272101683128,0.0,0.0
2022-03-01,-0.002700720634928,1.8520323392055724,-0.002700720634928,0.0,0.0
2022-03-02,0.009517709831617,1.869659445608902,0.009517709831617,0.0,0.0
2022-03-03,-0.0038719880329584,1.8624201466097967,-0.0038719880329584,0.0,0.0
2022-03-04,-0.0028662098060039,1.8570820597226845,-0.0028662098060039,0.0,0.0
2022-03-07,-0.0161626012097453,1.8270667829776142,-0.0161626012097453,0.0,0.0
